Meet Name,Event Name,Board,Diver Name,Team,University Name,Athletic Division,Athletic Conference,Score,Place,Total DD,Num Dives
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Megan Ono,NMSU,New Mexico State University,D1,MPSF ,208.45,14,13.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Audrey Easter,CBU,California Baptist University,D1,MPSF ,201.15,15,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Ava Langheim,PU,Pepperdine University,D1,MPSF,196.35,16,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Delaney Murphy,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,193.95,17,13.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Violet Noel,UNCO,University of Northern Colorado,D1,MPSF ,193.75,18,14,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Saige Anderson,IDAH,University of Idaho,D1,MPSF ,191.55,19,13.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Addison Campbell,UNCO,University of Northern Colorado,D1,MPSF ,190.85,20,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Amanda Wong,PU,Pepperdine University,D1,MPSF,190.85,20,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Mireya Ruiz,UNCO,University of Northern Colorado,D1,MPSF ,189.5,22,14.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Samantha Hill,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,188.6,23,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Addison Pastiak,NMSU,New Mexico State University,D1,MPSF ,185.45,24,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lauren Wierschke,IDAH,University of Idaho,D1,MPSF ,178.2,25,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kirsten Clark,NAZU,Northern Arizona University,D1,MPSF ,176.7,26,13.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Meredith Clabaugh,UNCO,University of Northern Colorado,D1,MPSF ,170.8,27,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Alexia Chavez,UPAC,University of the Pacific,D1,MPSF,167,28,13,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Abigail Bellucci,UIW,University of the Incarnate Word,D1,MPSF,162.65,29,10.7,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Isabelle Dollar,UIW,University of the Incarnate Word,D1,MPSF,158.45,30,12.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Jenna Haigh  - - Scratched,CBU,California Baptist University,D1,MPSF ,61.05,31,12.5,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Mackenna Stocker,NAZU,Northern Arizona University,D1,MPSF ,297.2,1,15,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Margaret Wesche,NAZU,Northern Arizona University,D1,MPSF ,292.25,2,14.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Grace Wesche,NAZU,Northern Arizona University,D1,MPSF ,283.65,3,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Mira Tinani,NMSU,New Mexico State University,D1,MPSF ,282.45,4,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Manou Meulebeek,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,269.75,5,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Maya Salvitti,IDAH,University of Idaho,D1,MPSF ,253.05,6,14.7,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Jacqueline Johnson,PU,Pepperdine University,D1,MPSF,249.7,7,14.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Bella Reynolds,CBU,California Baptist University,D1,MPSF ,241.9,8,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,230.55,1,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Amelia Ward,IDAH,University of Idaho,D1,MPSF ,226,2,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Vivian Vallely,PU,Pepperdine University,D1,MPSF,221.65,3,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Megan Ono,NMSU,New Mexico State University,D1,MPSF ,218.05,4,13.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Peytton Moore,NMSU,New Mexico State University,D1,MPSF ,214.45,5,14,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Ava Langheim,PU,Pepperdine University,D1,MPSF,204,6,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Delainey Pisaruk,PU,Pepperdine University,D1,MPSF,201.15,7,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Audrey Easter,CBU,California Baptist University,D1,MPSF ,200.55,8,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Mackenna Stocker,NAZU,Northern Arizona University,D1,MPSF ,297.9,1,15.2,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Maya Salvitti,IDAH,University of Idaho,D1,MPSF ,293.55,2,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Margaret Wesche,NAZU,Northern Arizona University,D1,MPSF ,290.5,3,16.3,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Mira Tinani,NMSU,New Mexico State University,D1,MPSF ,285.9,4,15.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Grace Wesche,NAZU,Northern Arizona University,D1,MPSF ,280.7,5,16.4,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,250.65,6,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Manou Meulebeek,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,248.8,7,16.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Peytton Moore,NMSU,New Mexico State University,D1,MPSF ,248.25,8,13.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Bella Reynolds,CBU,California Baptist University,D1,MPSF ,244.85,9,15.5,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Jacqueline Johnson,PU,Pepperdine University,D1,MPSF,242.55,10,15.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Amelia Ward,IDAH,University of Idaho,D1,MPSF ,231.2,11,16.1,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Vivian Vallely,PU,Pepperdine University,D1,MPSF,230.2,12,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Ava Langheim,PU,Pepperdine University,D1,MPSF,227.85,13,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Violet Noel,UNCO,University of Northern Colorado,D1,MPSF ,225.5,14,16,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Addison Pastiak,NMSU,New Mexico State University,D1,MPSF ,218.9,15,14.1,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Saige Anderson,IDAH,University of Idaho,D1,MPSF ,218.35,16,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Delainey Pisaruk,PU,Pepperdine University,D1,MPSF,212.4,17,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Addison Campbell,UNCO,University of Northern Colorado,D1,MPSF ,212.15,18,15.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Audrey Easter,CBU,California Baptist University,D1,MPSF ,210.75,19,15.6,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Mireya Ruiz,UNCO,University of Northern Colorado,D1,MPSF ,207.1,20,13.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Amanda Wong,PU,Pepperdine University,D1,MPSF,206.65,21,15.5,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Delaney Murphy,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,206.05,22,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Kirsten Clark,NAZU,Northern Arizona University,D1,MPSF ,201.65,23,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Megan Ono,NMSU,New Mexico State University,D1,MPSF ,193.45,24,14.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Alexia Chavez,UPAC,University of the Pacific,D1,MPSF,192.2,25,13.3,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Lauren Wierschke,IDAH,University of Idaho,D1,MPSF ,191.25,26,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Abigail Bellucci,UIW,University of the Incarnate Word,D1,MPSF,176.9,27,10.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Samantha Hill,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,176.15,28,14.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Meredith Clabaugh,UNCO,University of Northern Colorado,D1,MPSF ,157.75,29,13.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Isabelle Dollar,UIW,University of the Incarnate Word,D1,MPSF,155.95,30,11.7,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Maya Salvitti,IDAH,University of Idaho,D1,MPSF ,314.1,1,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Margaret Wesche,NAZU,Northern Arizona University,D1,MPSF ,300.45,2,16.3,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Mackenna Stocker,NAZU,Northern Arizona University,D1,MPSF ,279.45,3,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,274.45,4,15.9,6
Mountain Pacific Sports Federation Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Mira Tinani,NMSU,New Mexico State University,D1,MPSF ,272.6,5,15.6,6
